uberColorU uberColorG uberColorR uberColorI
1.193985 0.537899 0.3482552 0.1490154
2.023619 0.8468552 0.390152 0.2597599
1.438845 0.8228741 0.4369812 0.2543344
1.200535 0.4849052 0.2338781 0.1592684
0.9121876 0.3705587 0.1952009 0.1507425
1.52441 0.7268486 0.3698616 0.2522602
0.9832954 0.3906288 0.2116032 0.1599693
1.10211 0.5832481 0.3150063 0.1980419
1.931307 1.004576 0.3989773 0.3760681
1.5996 0.9244003 0.4560432 0.3165321
1.798729 1.000822 0.4152012 0.3195515
1.763025 0.8859615 0.4118004 0.2830343
1.580059 0.6692543 0.3385944 0.219883
1.710632 1.19516 0.5005875 0.4200096
2.059227 1.078915 0.4569111 0.298584
1.20442 0.4746952 0.3547287 0.1871891
1.853127 0.886898 0.3983326 0.3247223
1.451845 0.881731 0.440527 0.3250751
1.90663 1.003773 0.4307308 0.341259
1.465849 1.150303 0.3849449 0.4275455
1.537054 0.794838 0.3851147 0.2683649
2.019474 0.8817139 0.4115524 0.3391933
1.988577 0.986702 0.5135679 0.3770943
1.29961 0.8106556 0.4102535 0.2976732
1.42351 0.6566944 0.3429394 0.2730579
1.732903 0.9653912 0.4510765 0.3759766
1.562229 0.6793995 0.3772831 0.2443237
1.924786 0.96908 0.4652481 0.3876572
1.874216 0.9572926 0.4093704 0.3343048
1.529133 0.7631969 0.4344788 0.2518444
1.818268 0.9608002 0.4082031 0.2848148
1.990507 1.054741 0.4395599 0.3487959
1.848442 1.069063 0.4087353 0.4010201
1.976046 1.043034 0.4508991 0.3054867
1.668421 1.035999 0.4171104 0.3657951
1.775866 0.8292103 0.4218378 0.2782211
1.94486 1.177593 0.4751034 0.3589325
1.989544 0.9409637 0.4333668 0.3591518
1.016451 0.5108337 0.3173637 0.1284695
1.848566 1.113985 0.4343147 0.32864
1.878115 0.9123306 0.3997517 0.3130007
1.373777 0.7829971 0.40769 0.2687263
2.03863 0.9960899 0.4179993 0.3210144
1.901344 0.9019527 0.4166965 0.3207331
1.978174 1.067715 0.4438019 0.3467903
1.683018 0.8320389 0.3491535 0.2932243
1.187025 0.4856453 0.306778 0.168808
1.741911 0.8360233 0.4124632 0.3078613
1.559937 0.8240929 0.4717407 0.353323
1.728498 0.9157639 0.3863735 0.3064823
1.766577 0.9397125 0.406517 0.2964859
1.097847 0.4684982 0.3147583 0.1455917
1.382215 0.8133163 0.4640503 0.3098469
1.216169 0.6797295 0.4604244 0.2321625
1.856661 1.03587 0.4157619 0.2420025
1.43465 0.8388214 0.4173298 0.2507515
1.126764 0.6046467 0.3439903 0.2048874
1.378834 0.7481251 0.4273796 0.3233719
1.466677 0.7503815 0.3791504 0.2588959
1.754797 1.067163 0.3939886 0.3238173
1.362659 0.8567696 0.416626 0.3010864
2.276783 1.027441 0.4706898 0.3615894
1.857185 0.9093533 0.3700428 0.300271
1.532688 0.7908573 0.4702473 0.3577576
1.7367 1.161625 0.4812279 0.4266548
1.421627 0.6747475 0.287344 0.3425026
1.164944 0.9623566 0.4007664 0.300663
2.092192 1.084528 0.4570904 0.3302708
1.529499 0.7901955 0.3769512 0.2473068
1.177422 0.9098167 0.3643646 0.1493874
0.9663372 0.3046951 0.1051903 0.1395397
1.708801 0.9938316 0.4166183 0.341692
1.924162 1.011864 0.4442062 0.3466759
1.201555 0.7139606 0.4404564 0.2064781
1.930706 1.010305 0.408577 0.3721008
1.498978 0.8773041 0.4214935 0.3599052
1.78306 0.9547348 0.4156437 0.3431473
1.2894 0.6924324 0.3628845 0.1616364
1.873734 0.9418507 0.408659 0.3503876
1.24058 0.5768719 0.2966938 0.1300831
1.648184 0.9830437 0.5328178 0.3840923
1.279751 0.4895515 0.3241959 0.1474323
2.118038 1.119909 0.524025 0.3923683
1.350721 0.6220169 0.3699646 0.2334585
1.053236 0.4636669 0.2521839 0.1747036
1.756226 0.8705139 0.4764786 0.3331203
0.784893 0.2844543 0.2173653 -1.6705
1.524214 0.9527092 0.4266453 0.2665272
1.426865 0.723568 0.3815365 0.2581654
1.894455 0.9649811 0.4249878 0.3418083
2.009726 1.061462 0.4154778 0.3685646
1.349411 0.7357979 0.3829651 0.2513332
1.633356 0.8307724 0.4641342 0.3407326
1.607454 0.8087788 0.4473057 0.3317738
0.9265938 0.3806591 0.2933235 0.02511406
1.455154 0.8890095 0.4437828 0.3202915
1.908203 1.089617 0.5054111 0.4079456
2.089024 1.374594 0.4686985 0.2425003
1.2777 0.5899792 0.373539 0.2011166
1.39028 0.8127213 0.3836994 0.2982121
1.635775 0.9228611 0.4009228 0.2600403
1.709803 0.8836918 0.445241 0.351675
2.80246 1.105776 0.380619 0.3245983
1.057589 0.2385654 0.2561684 0.02226639
1.103626 0.6503181 0.3704357 0.2349548
2.355854 1.190857 0.4836426 0.2726631
1.901968 1.026255 0.4028816 0.3135624
1.371994 0.6827698 0.3455238 0.2198162
2.286226 1.201744 0.4601154 0.3365898
0.9026222 0.2209167 0.2552834 0.003917694
1.725124 0.8946571 0.4826698 0.2837715
1.616743 0.8679619 0.3942852 0.2962894
